id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
202,7,7,7,1,1,1,7,7,7,1,1,1,7,7,1,1,1,1
203,4,2,3,1,3,6,6,5,5,4,4,1,2,6,3,3,2,2
204,5,6,6,1,4,6,7,7,5,1,2,1,6,6,6,1,1,4
205,4,3,3,5,4,7,7,7,7,2,3,3,3,6,6,1,2,1
206,6,6,6,3,5,2,3,6,5,2,2,3,2,2,2,1,2,2
207,6,7,6,3,5,3,7,7,7,5,4,2,5,6,6,1,1,4
208,7,7,7,5,5,4,7,7,7,3,2,1,4,4,1,1,1,2
209,7,5,1,1,1,1,7,7,7,2,1,1,5,5,7,1,1,1
210,4,3,4,2,2,6,3,4,3,5,5,4,3,2,2,4,2,3
211,5,4,5,7,2,6,6,7,6,4,5,2,3,4,3,6,5,5
212,3,3,3,7,7,7,5,1,1,2,1,5,1,4,1,4,6,4
213,5,5,5,5,6,6,6,5,2,5,3,5,2,2,3,3,6,4
214,7,7,4,4,4,7,1,1,1,2,1,1,1,1,1,7,7,4
215,7,7,7,4,4,7,7,7,7,5,7,1,7,7,7,7,1,5
216,5,6,6,2,3,3,5,6,6,5,4,5,4,4,2,2,4,4
217,4,4,1,7,7,7,5,4,1,1,1,1,1,1,1,1,1,1
218,2,2,3,5,5,5,5,5,5,5,5,3,1,1,2,1,4,4
219,5,5,5,5,2,6,5,5,2,3,2,2,2,2,2,7,4,2
220,6,5,5,7,1,7,6,1,6,5,1,5,1,4,1,7,7,7
221,7,6,5,2,1,1,7,6,7,1,5,3,5,4,4,6,4,6
222,7,7,7,2,3,7,7,7,5,1,3,1,5,5,2,1,1,1
223,5,5,5,5,5,5,5,5,5,4,6,5,5,4,5,5,5,5
224,6,7,5,5,5,5,6,6,6,5,2,3,6,4,1,7,2,3
225,4,3,2,7,5,3,2,4,7,6,2,6,7,5,3,3,2,3
226,7,4,4,4,1,1,4,1,4,4,1,4,1,1,4,1,1,4
227,6,7,7,3,6,6,6,5,5,2,3,2,6,3,2,1,1,1
228,6,7,7,1,2,1,6,7,7,2,5,3,6,5,3,3,2,2
229,3,5,4,5,4,5,4,4,4,6,5,6,2,2,2,6,5,6
230,7,7,7,1,1,4,7,7,7,1,1,1,7,7,6,1,1,1
231,6,5,6,4,4,3,6,5,5,4,3,4,2,3,2,1,2,2
232,2,3,2,7,7,7,4,4,1,4,6,4,2,1,1,7,5,6
233,6,5,5,4,4,2,7,5,5,4,3,3,2,3,2,5,2,3
234,7,5,7,1,1,1,2,2,1,1,1,1,1,2,1,7,1,1
235,7,7,7,1,1,1,7,7,7,1,1,1,7,7,7,1,1,1
236,5,7,5,7,2,2,7,6,6,6,5,5,1,2,2,1,2,1
237,6,7,7,1,1,1,7,7,7,1,5,1,5,5,6,1,1,1
238,6,7,6,6,2,1,6,5,6,1,2,2,6,6,7,1,1,2
239,7,7,6,1,1,2,5,5,5,1,1,1,1,4,1,2,1,2
240,7,7,7,1,1,1,7,7,7,5,1,5,4,4,4,1,1,4
241,6,7,1,1,1,1,5,6,5,1,1,1,6,6,4,1,1,1
242,7,6,5,1,1,1,7,6,7,1,1,1,1,1,1,1,1,1
243,6,6,6,6,6,4,6,6,6,2,5,2,1,4,1,5,4,4
244,5,5,5,3,3,3,4,4,5,2,4,2,4,1,3,2,2,2
