study,age,gender,condition,recallText,possibleCareless,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,randomID,wave,playtimePrevWeek,playtimePrev2Weeks,playtimeNextWeek,playtimeNext2Weeks,game,umi_1,umi_2,umi_3,pxi_1,pxi_2,pxi_3,pxi_4,pxi_5,pxi_6,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24
study2xbox,19,Trans woman,NA,NA,FALSE,3,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,5,5,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,4,NA,NA,NA,4,NA,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2283366,4,6.178571429,6.982142857,4.130952381,4.449538998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,19,Trans woman,NA,NA,FALSE,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4,NA,5,NA,NA,NA,2,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2283366,5,4.306101344,4.353053165,2.629627422,2.23714073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,19,Trans woman,NA,NA,TRUE,3,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,NA,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2283366,6,1.845238095,2.928301887,0.739195231,0.869910626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,6,7,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,6,NA,7,NA,NA,NA,5,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2300863,1,NA,NA,9.009801587,8.302519841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,4,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2300863,2,7.360794045,8.400893079,9.083134921,8.898710317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,6,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,7,NA,NA,NA,3,NA,NA,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2300863,3,8.464285714,8.803571429,8.599503722,8.591416522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,5,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,4,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2300863,4,8.267301587,8.92753163,7.827936508,8.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,4,NA,5,NA,NA,NA,3,NA,NA,3,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2300863,5,8.063523573,8.269908211,8.193374741,8.182370821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,5,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,3,NA,NA,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2300863,6,7.678571429,7.893145161,8.131147541,8.544190665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,TRUE,4,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,7,NA,7,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,1,NA,NA,2.928571429,3.737480159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,FALSE,4,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,6,5,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,5,NA,NA,NA,4,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,2,4.383126551,4.239146614,3.214285714,3.505952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,FALSE,5,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,5,5,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,NA,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,3,4.023809524,3.488095238,2.930024814,3.75093029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,FALSE,4,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,5,NA,NA,NA,4,NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,4,3.238095238,3.286529397,0.845238095,1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,TRUE,4,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,5,NA,4,NA,NA,NA,4,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,5,1.572208437,0.922847929,2.198757764,1.276595745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,48,Man,NA,NA,TRUE,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,6,5,NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2314026,6,0.392857143,0.688450985,0.70342772,1.114200596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,42,Woman,NA,NA,FALSE,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,6,7,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,2,NA,NA,3,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2343814,1,NA,NA,14.44738095,8.1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,33,Woman,NA,NA,FALSE,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,6,7,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,5,NA,6,NA,NA,NA,5,NA,NA,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2348632,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,45,Woman,NA,NA,FALSE,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,6,7,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,6,NA,5,NA,NA,NA,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2365611,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,45,Woman,NA,NA,FALSE,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2365611,2,0.011904762,0.005953858,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,3,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2435574,1,NA,NA,1.619851117,1.506325974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,TRUE,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2435574,2,1.273809524,1.44083354,0.773809524,0.988340362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,5,5,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2435574,3,1.012406948,0.958571074,1.035714286,1.196428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,2,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2435574,4,1.369047619,1.196428571,2.857142857,2.533266633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,5,6,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,6,NA,6,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2435574,5,2.145439504,2.582278481,1.597615499,1.763216679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,5,6,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,7,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2435574,6,2,1.709605361,1.239940387,1.042701092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,6,5,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,5,NA,6,NA,NA,NA,4,NA,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2445414,1,NA,NA,0.297619048,0.708509055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,5,5,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,4,NA,4,NA,NA,NA,1,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2445414,2,0.624880952,0.729288018,1.3275,1.080684694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,4,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,4,5,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4,NA,5,NA,NA,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2445414,3,0.643176179,1.119325229,2.75,2.303571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,5,5,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4,NA,4,NA,NA,NA,3,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2445414,4,3.011904762,2.303571429,1.25,0.634760705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,5,5,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,5,NA,4,NA,NA,NA,1,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2445414,5,0,0.637974684,0.870342772,0.729511045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Woman,NA,NA,FALSE,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4,NA,5,NA,NA,NA,2,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2445414,6,0.178571429,0.438657987,1.073025335,0.536246276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,27,Man,NA,NA,FALSE,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,5,NA,7,NA,NA,NA,2,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2453102,1,NA,NA,1.083333333,2.613743488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
