Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea98e019e681a62944d76,605e00317685d10fdd6e7a16,APPROVED,2023-04-18T14:30:38.675000Z,2023-04-18T14:39:19.063000Z,2023-04-18T15:57:04.228000,2023-04-18T14:39:19.440633Z,521,C1I6GZK1,295,3-6 hours,32,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
643ea9995730a2f54f0e1a17,5eb40fb9e8373821b19f995a,APPROVED,2023-04-18T14:30:49.718000Z,2023-04-18T14:37:54.036000Z,2023-04-18T15:57:04.349000,2023-04-18T14:37:54.987745Z,425,C1I6GZK1,226,13 hours or more,22,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
643ea9a15730a2f54f0e1a19,6093c8ecd6164d2b16b202aa,APPROVED,2023-04-18T14:30:57.784000Z,2023-04-18T14:36:49.156000Z,2023-04-18T15:57:04.474000,2023-04-18T14:36:52.541672Z,352,C1I6GZK1,100,6-9 hours,20,Male,White,Poland,Poland,Poland,Polish,No,Other
643ea9a19ced6682741dfb6d,5f8f1d38e25d2b1306f8e554,APPROVED,2023-04-18T14:31:01.614000Z,2023-04-18T14:36:02.616000Z,2023-04-18T15:57:16.564000,2023-04-18T14:36:03.381062Z,302,C1I6GZK1,406,13 hours or more,29,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
643ea9adccf04af5d9ef512f,589c1e2d32c2cc0001cd155a,APPROVED,2023-04-18T14:31:14.059000Z,2023-04-18T14:44:37.738000Z,2023-04-18T15:57:04.610000,2023-04-18T14:44:38.097290Z,804,C1I6GZK1,45,13 hours or more,38,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
643ea9b8f81fea4242bb4ebf,5f14e3ceafd70a5774c29ebb,APPROVED,2023-04-18T14:31:31.255000Z,2023-04-18T14:42:11.091000Z,2023-04-18T15:57:04.739000,2023-04-18T14:42:11.472545Z,640,C1I6GZK1,184,13 hours or more,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643ea9bc996bec1d3e31de6c,602db1ca73ddaf883ae430a7,APPROVED,2023-04-18T14:31:27.238000Z,2023-04-18T14:40:14.884000Z,2023-04-18T15:57:04.868000,2023-04-18T14:40:15.567612Z,528,C1I6GZK1,86,3-6 hours,23,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Full-Time
643ea9bcfd137ebd0c786fc7,63400c1f90bf977fdb7ec941,APPROVED,2023-04-18T14:31:26.212000Z,2023-04-18T14:40:45.364000Z,2023-04-18T15:57:05.037000,2023-04-18T14:40:45.806912Z,560,C1I6GZK1,95,10-12 hours,26,Male,White,United Kingdom,Germany,Germany,English,No,Full-Time
643ea9c5a087ec6397ab9473,60e44e23facb93f7970b2df0,APPROVED,2023-04-18T14:31:33.824000Z,2023-04-18T14:41:23.040000Z,2023-04-18T15:57:05.155000,2023-04-18T14:41:23.428123Z,590,C1I6GZK1,68,10-12 hours,22,Male,Asian,Pakistan,Hungary,Pakistan,Urdu,Yes,Unemployed (and job seeking)
643ea9c75b9114096d7b9f0a,5d9f546b1b289e0015c9f3f5,APPROVED,2023-04-18T14:31:35.343000Z,2023-04-18T14:38:33.482000Z,2023-04-18T15:57:05.281000,2023-04-18T14:38:33.934998Z,419,C1I6GZK1,139,13 hours or more,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
